function	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S242	L3S294	L3S313	L3S341	L3S360	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	6916.52	7767.67	8853.33	6502.04	7234.69	8029.519999999999	6698.97	4780.89	3121.49	3273.8499999999995	6262.02	3637.33	2785.87	1203.25	2382.29	3018.74	611.6600000000001	1096.43	839.76	1706.44	1223.27	1416.75	8224.67	7812.94	9306.74	1388.37	940.79	1454.15	1169.11	1314.9399999999998	950.77	3761.71	3042.48	4866.35
1.1.1.136-RXN	26.0	84.67	110.4	90.6	92.0	0.0	4.0	9.0	31.0	32.47	34.61	44.73	259.27	40.73	40.3	64.67	0.0	5.67	6.33	14.4	10.2	12.0	151.24	134.0	344.45000000000005	0.0	101.6	31.0	92.6	105.8	89.2	717.8000000000001	350.6	268.2
1.1.1.145-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.215-RXN	38.0	71.0	6.0	0.0	5.0	0.0	188.0	245.0	853.6	174.6	1578.0	335.76	174.0	45.38	304.0	32.67	41.0	331.4	30.0	351.0	163.32999999999998	12.0	850.76	512.6700000000001	400.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.220-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	34.0	3.0	8.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	12.0	23.0	10.0	8.0	21.0	38.0	18.0	7.0	73.0	31.0	107.0
1.1.1.251-RXN	38.0	60.0	6.0	0.0	5.0	0.0	188.0	245.0	14.0	26.0	16.0	26.0	0.0	0.0	11.0	0.0	41.0	0.0	0.0	18.0	0.0	6.0	97.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.253-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	32.0	24.0	346.0	14.0	0.0	0.0	5.0	0.0	29.0	8.0	5.0	143.0	0.0	45.0	20.0	87.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.261-RXN	410.0	224.0	551.4	289.6	270.0	409.0	296.0	223.0	21.66	28.66	4.0	6.66	0.0	32.66	12.0	23.34	13.0	4.66	7.34	8.34	0.0	35.0	91.0	26.66	211.78	0.0	0.0	0.0	0.0	0.0	0.0	1.6	1.0	0.0
1.1.1.264-RXN	0.0	52.0	10.0	26.0	15.0	0.0	0.0	0.0	92.7	53.8	58.0	75.43	0.0	13.0	0.0	0.0	0.0	40.4	26.2	64.0	30.0	9.0	135.0	72.0	225.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.271-RXN	2558.87	6884.0	6515.4	4078.16	4496.91	3045.6100000000006	2688.45	3374.57	263.94	394.86	3160.58	716.3	503.75	193.8	706.0	739.0	479.39	113.0	28.72	739.14	384.0	1136.25	1830.72	1384.0	1703.66	527.86	143.0	784.5	206.5	496.0	153.5	412.6	392.5	2588.0
1.1.1.289-RXN	18.0	76.0	37.0	42.0	22.0	48.0	32.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.291-RXN	0.0	52.0	10.0	26.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.292-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	26.38	0.0	3.38	0.0	2.0	0.0	0.0	0.0	0.0	16.0	0.0	1.88	0.0	28.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.34-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.33	5.33	0.0	0.0	0.0	0.0	0.0	54.75	0.0	0.0	0.0	0.0	6.5	0.0	29.5	100.5	35.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.39-RXN	2791.01	2276.92	2891.1	2352.26	2874.91	3609.97	2889.28	1843.85	1330.61	1037.04	575.32	938.5	836.52	537.05	636.04	1079.84	228.75	512.13	328.59	225.74	357.37	425.0	2931.16	1859.81	4360.26	576.27	273.6	441.5	382.77	378.13	298.70000000000005	1410.02	1093.43	1136.53
1.1.1.43-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	24.0	1367.0	49.38	0.0	25.38	304.0	0.0	0.0	0.0	0.0	311.0	88.0	0.0	677.88	19.0	129.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.51-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.53-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	2.33	16.0	5.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	20.0	199.0	250.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.83-RXN	66.0	71.0	55.0	0.0	5.0	48.0	258.0	308.0	888.0	148.6	1519.0	430.38	174.0	72.38	328.0	281.34000000000003	57.0	325.0	14.0	374.0	194.66	12.0	1005.88	1161.59	767.5	0.0	0.0	0.0	6.0	0.0	0.0	24.25	5.0	3.0
1.1.3.41-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	44.0	4.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	14.0	22.0	0.0	24.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.99.25-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1469.0	163.2	1486.0	170.38	48.0	45.38	304.0	8.0	0.0	502.0	30.0	321.0	134.0	0.0	777.88	80.0	309.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.99.28-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	33.33	26.0	98.0	0.0	17.0	7.0	10.0	0.0	0.0	7.0	10.0	27.0	0.0	25.0	546.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.10.2.2-RXN	1.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	344.2	233.2	1625.08	782.11	435.6	81.78	370.06	404.07	0.0	113.4	68.0	392.4	322.53	6.0	1036.88	1064.07	1189.75	13.6	109.6	38.0	138.6	113.8	96.2	800.2	380.6	378.2
1.11.1.15-RXN	8058.69	14786.51	14343.09	9971.02	10390.9	9691.17	8351.71	9338.82	7801.870000000001	6859.61	9216.59	5857.58	4871.67	2456.84	4350.12	5890.04	1299.09	2841.9700000000003	1783.6999999999998	2567.3500000000004	2013.41	2480.75	15340.5	13898.45	18041.620000000003	2895.04	1413.93	2871.21	2003.32	2671.9300000000003	1617.91	5268.07	5480.67	10125.62
1.12.1.3-RXN	8384.279999999999	10165.01	9648.0	7017.41	6817.09	9003.11	8372.21	8000.96	442.03	232.44	320.2	367.16	145.01	343.32	280.68	410.74	1107.86	94.01	90.85	130.57	75.0	1942.75	813.02	598.9200000000001	2350.32	26.1	42.0	45.0	60.67	76.33	21.0	117.27	229.33	209.33
1.12.5.1-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	8.0	0.0	14.66	68.0	6.0	16.0	136.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	68.0	46.0	20.0	16.0	42.0	76.0	36.0	14.0	146.0	62.0	214.0
1.13.11.15-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	53.0	1367.0	116.0	0.0	22.0	304.0	0.0	0.0	0.0	0.0	311.0	102.0	0.0	697.0	72.0	123.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.13.11.16-RXN	76.0	120.0	12.0	0.0	10.0	0.0	376.0	490.0	26.6	41.0	3.0	74.0	0.0	4.0	0.0	2.0	82.0	11.4	0.0	0.0	15.0	12.0	96.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.13.11.25-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	103.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.13.11.41-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.13.11.49-RXN	0.0	3.5	13.0	7.0	0.0	0.0	0.0	0.0	928.45	1213.38	210.83	220.98	500.0	410.0	576.86	435.25	0.0	395.5700000000001	368.03	130.5	81.0	0.0	2278.07	1315.0	2555.95	322.0	165.0	327.0	228.0	178.0	202.0	434.0	497.0	547.0
1.13.11.6-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.33	8.0	166.0	206.0	0.0	7.0	10.0	0.0	0.0	0.0	12.0	25.0	55.0	0.0	21.0	0.0	76.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.13.11.9-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.5	53.0	1382.0	74.0	0.0	22.0	304.0	2.0	0.0	13.0	14.0	314.0	93.0	0.0	679.0	65.0	197.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.14.11.1-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	135.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	0.0	0.0	54.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.14.11.18-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	18.0	6.140000000000001	36.38	0.0	3.38	1.43	0.0	0.0	0.0	0.0	10.0	27.0	0.0	29.88	0.0	91.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.14.11.2-RXN	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	145.0	125.0	140.0	262.38	150.0	68.0	50.0	40.67	0.0	55.0	28.0	51.0	45.33	6.0	195.88	621.6700000000001	533.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.14.12.1-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	48.0	3102.0	216.0	0.0	48.0	608.0	36.0	0.0	18.0	0.0	709.0	186.0	0.0	1514.0	68.0	261.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.14.13.59-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	750.0	82.6	129.28	33.0	24.0	7.0	6.859999999999999	4.0	0.0	268.0	16.0	16.0	30.0	0.0	77.0	10.0	91.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.14.13.70-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.14.13.8-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.14.13.84-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.5	0.0	0.0	13.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	31.0	0.0	35.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.14.19.1-RXN	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	1883.93	303.6	657.14	1295.76	226.0	124.76	142.43	240.0	0.0	803.4	31.0	244.0	532.0	6.0	822.76	1039.0	1785.6	526.0	0.0	0.0	17.0	20.0	0.0	25.0	13.0	32.0
1.14.19.3-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	957.13	632.9	311.5	526.98	24.0	30.88	43.0	35.75	0.0	352.29999999999995	130.2	31.0	168.0	0.0	442.88	651.0	659.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.15.1.2-RXN	2527.16	2139.67	2407.5	1947.16	2237.16	2979.67	2335.83	1181.5	392.17	460.17	179.17000000000002	194.0	594.6700000000001	192.66	252.34000000000003	751.1700000000001	132.0	95.67	124.33	97.0	36.5	428.5	800.49	916.33	1619.99	332.0	226.0	1049.0	323.0	585.0	195.0	679.5	574.0	2069.0
1.17.1.1-RXN	36.0	22.0	0.0	99.0	48.0	154.0	107.0	0.0	174.2	154.2	1651.94	396.78	541.6	54.78	342.63	280.07	0.0	71.4	25.0	374.4	190.53	12.0	936.88	879.0699999999999	466.5	3.6	101.6	17.0	100.6	95.8	89.2	727.2	353.6	278.2
1.17.4.2-RXN	6551.31	10214.92	10724.83	7489.2	9100.52	8630.88	6990.68	5463.6	1138.93	1912.12	659.16	998.86	2356.34	850.91	1114.6	2514.1400000000003	737.52	276.06	545.3699999999999	345.37	249.71	1797.75	4398.66	4955.49	4994.12	1006.6	698.26	1486.82	1059.58	1600.67	792.3700000000001	2842.48	3006.15	5022.75
1.17.99.1-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.28	8.0	0.0	3.0	32.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.18.1.2-RXN	2866.26	2391.0	3423.1	3073.7200000000003	3260.04	3695.97	2909.53	1680.1	3515.37	2596.17	3807.61	2113.9700000000003	1046.45	546.6800000000001	1374.12	1294.32	221.0	1299.67	636.26	968.3	825.73	469.5	4303.58	2666.1400000000003	4779.83	487.2	292.2	148.5	341.7	261.6	304.90000000000003	1795.8000000000002	1074.7	755.4
1.2.1.2-RXN	650.0	1047.17	313.66	632.5	435.5	679.0	1178.5	1348.16	1454.6	1675.17	842.19	1340.3000000000002	1189.3300000000002	898.38	1252.5800000000002	1721.75	255.16	637.6700000000001	497.67	407.0	325.33	198.0	4935.04	4360.95	5938.41	257.01000000000005	267.34000000000003	266.66	461.0100000000001	314.98999999999995	233.34	957.86	823.9900000000001	1440.6699999999998
1.2.1.27-RXN	2.33	63.0	17.33	29.33	52.83	23.5	15.0	0.83	3374.76	966.33	6063.31	1414.16	500.83	283.9	1347.76	335.1	0.83	1197.23	196.34	1376.17	819.1600000000001	15.0	3650.0	1902.68	2914.62	371.17	75.67	69.33	84.17	83.33	88.67	270.67	241.33	107.17
1.2.1.32-RXN	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	16.33	11.0	95.0	75.0	138.0	0.0	0.0	8.67	0.0	13.0	12.0	19.0	19.33	6.0	17.0	364.67	60.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.2.1.45-RXN	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	30.0	69.0	138.0	0.0	11.0	22.0	0.0	10.0	0.0	11.0	0.0	6.0	57.0	117.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.2.1.66-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	728.0	846.33	114.83	135.0	203.0	134.0	228.86	111.25	0.0	295.17	190.33	53.0	57.0	0.0	748.69	461.5	957.83	178.0	64.0	45.0	83.0	31.0	104.0	108.0	224.0	38.0
1.2.1.9-RXN	2.33	0.0	8.9	16.73	32.83	12.5	0.0	6.0	140.3	128.22	1601.28	190.07	75.4	48.0	341.13	207.07	0.8	13.0	16.630000000000003	354.0	111.0	0.0	875.32	244.63	769.5600000000001	14.4	24.4	18.4	33.8	25.8	15.0	68.6	83.6	108.0
1.2.3.3-RXN	0.0	0.0	6.0	7.0	0.0	0.0	0.0	0.0	247.73	712.32	168.77	147.01	211.92	397.33	524.66	341.94	0.0	90.33	249.34	109.33	51.510000000000005	1.0	2182.51	1242.25	2003.66	179.5	114.92	79.92	155.17000000000002	116.08	92.0	130.07	338.92	215.25
1.2.4.4-RXN	1082.2	3700.0	3240.0	1990.93	2179.28	1235.14	1029.2	2100.4	353.66	642.5	3585.0	908.26	42.0	705.0	1330.0	287.34000000000003	262.34000000000003	152.0	319.0	870.0	367.66	604.0	4536.76	2295.84	4696.25	25.0	9.0	27.0	26.0	13.0	10.0	100.0	40.0	36.0
1.2.7.4-RXN	337.26	235.25	228.1	87.76	191.41	554.3	395.45	255.85	49.8	93.0	1.2	16.0	333.0	18.0	21.0	274.2	36.25	8.0	19.0	21.0	0.0	40.5	177.57	351.25	116.0	144.0	101.0	287.0	142.0	147.0	108.0	381.3	325.0	589.0
1.2.7.5-RXN	114.0	102.0	31.0	152.0	87.0	197.0	136.0	62.0	2.0	5.0	3.0	24.0	0.0	0.0	19.0	155.0	18.0	13.0	0.0	10.0	0.0	18.0	31.0	125.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	6.0
1.2.7.8-RXN	3652.32	9136.5	8608.8	6166.219999999999	6332.56	5266.82	3844.32	5023.22	186.13	191.53000000000003	174.26	776.09	166.0	171.76	57.86	517.24	759.22	123.0	34.72	70.14	202.66	1458.5	745.64	1582.84	1126.0	2.86	18.0	28.0	24.0	0.0	20.0	41.3	25.0	77.0
1.2.99.7-RXN	165.0	179.0	72.0	92.0	65.0	220.0	100.0	88.0	7.4	0.0	0.6	3.0	0.0	0.0	0.0	0.6	18.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.0	0.0
1.20.1.1-RXN	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	18.5	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.21.4.1-RXN	25.0	56.25	32.0	5.0	213.75	205.0	33.75	16.25	70.0	252.5	90.0	107.0	348.0	5.0	150.0	203.0	3.75	0.0	85.0	15.0	12.5	2.5	710.0	836.0	269.0	189.0	125.0	166.0	152.0	253.0	129.0	297.5	310.0	110.0
1.21.4.4-RXN	89.0	323.26	195.0	105.0	102.75	185.0	216.75	237.25	82.0	51.51	32.01	39.99	114.76	43.99	44.01	289.01	48.75	21.01	17.990000000000002	3.0	6.5	36.5	186.01	320.5	427.99	27.0	15.0	23.5	44.5	55.0	22.5	118.25	164.5	141.0
1.3.1.20-RXN	0.0	0.0	0.0	0.0	5.0	12.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.3.1.25-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	790.6	102.0	177.0	216.0	24.0	0.0	11.0	4.0	0.0	271.4	28.0	59.0	91.0	0.0	152.0	10.0	127.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.3.1.49-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.38	0.0	3.38	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.88	0.0	11.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.3.1.54-RXN	437.95	914.25	793.7	504.7	461.25	984.77	540.48	885.95	428.35	766.4	1763.68	518.37	1031.0	194.33	448.0	802.89	109.75	180.23	152.35000000000002	431.67	272.0	132.5	1466.47	929.43	1724.1999999999998	591.0	148.0	416.0	364.0	689.0	286.0	1089.65	1296.2	1257.8
1.3.1.56-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.3.1.62-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.34	0.0	0.0	0.0	0.0	4.66	0.0	0.0	729.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.3.1.64-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.3.1.9-RXN	6276.0	10243.25	10279.63	7259.05	7833.139999999999	7761.96	6240.1	6423.4	1953.77	2018.54	3178.69	2838.79	2792.5	878.79	1400.99	2687.53	867.77	654.46	484.78	1005.54	934.05	1747.5	5491.79	5812.56	6531.04	1295.1999999999998	744.59	1609.15	1124.24	1651.01	837.3700000000001	2981.49	2992.15	4777.75
1.3.7.2-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.3.7.3-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.3.7.5-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.5	8.0	120.0	173.5	7.0	47.0	39.0	7.0	0.0	82.0	0.0	39.0	114.0	0.0	193.0	42.0	532.0	263.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0
1.3.99.16-RXN	0.0	66.0	0.0	0.0	0.0	0.0	0.0	0.0	489.0	298.0	3213.42	905.28	852.0	152.28	692.29	114.0	0.0	184.0	40.0	816.0	363.0	36.0	2074.28	5460.0	1645.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.3.99.23-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.5	18.0	71.0	12.0	17.0	17.0	4.0	357.0	0.0	3.0	0.0	9.0	0.0	0.0	57.0	241.5	29.0	0.0	0.0	35.0	3.0	16.0	0.0	97.0	88.0	820.0
1.3.99.5-RXN	1561.16	3980.0	3762.4	2409.28	2541.03	1718.41	1579.41	2143.86	4.01	23.76	11.29	31.17	3.0	42.83	6.5	2.0	303.86	0.0	6.53	1.57	14.17	659.25	36.36	1.75	64.0	1.43	9.0	0.0	5.0	0.0	10.0	1.6	1.0	9.0
1.4.1.11-RXN	85.25	262.5	155.0	218.83	117.0	149.0	103.0	248.5	53.75	69.75	72.0	121.75	676.0	29.0	0.0	163.95	27.0	7.0	7.25	0.0	27.0	60.5	91.73	184.85	428.0	176.0	42.0	114.0	203.0	510.0	179.0	679.0	942.2	625.8
1.4.1.21-RXN	1218.71	3648.25	2963.0	1788.63	2102.88	1730.86	1615.71	2253.71	27.43	34.03	18.29	62.0	3.0	32.0	2.0	2.0	347.86	10.0	12.86	1.57	21.0	575.0	66.86	10.0	93.0	1.43	9.0	0.0	5.0	0.0	10.0	0.0	0.0	9.0
1.4.3.19-RXN	1.0	11.0	6.0	7.0	0.0	0.0	0.0	0.0	1297.08	1058.01	1816.63	586.71	589.5999999999999	407.23	750.0600000000001	292.99	0.0	500.69999999999993	348.7	463.57	223.53	6.0	2763.57	1526.4	2804.66	181.6	165.6	62.0	177.6	126.8	193.2	813.2	568.6	306.2
1.4.3.20-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.5.1.20-RXN	4008.55	8182.5	7953.23	5220.94	6404.36	5180.41	4329.65	4477.5	2976.4700000000003	2072.82	2569.99	1881.98	2017.5	574.96	995.79	1553.1999999999998	592.02	1051.0300000000002	418.41	779.54	705.54	1373.75	3628.94	4201.89	4216.17	1070.53	547.59	1073.15	846.24	1280.01	627.3700000000001	2227.1400000000003	2347.15	2841.42
1.5.1.24-RXN	0.0	16.0	0.0	0.0	0.0	0.0	0.0	23.0	1.33	22.33	0.0	3.17	0.0	10.83	4.5	0.0	0.0	0.0	5.67	0.0	1.17	0.0	16.5	0.5	82.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.5.1.28-RXN	17.0	163.0	229.0	304.0	131.0	5.0	4.0	4.5	782.0	245.0	96.0	80.0	24.0	274.0	318.0	155.67000000000002	0.0	320.0	145.0	69.0	34.33	32.0	1465.0	881.6700000000001	1502.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.5.1.34-RXN	207.0	60.0	8.0	103.0	53.0	175.34	301.0	633.0	817.6	157.6	132.0	258.0	70.0	2.0	0.0	126.0	56.34	296.4	43.0	43.0	66.0	6.0	153.0	188.0	230.0	0.0	4.0	0.0	6.0	5.0	15.0	33.0	32.0	42.0
1.5.1.7-RXN	3778.59	5195.5	5160.0	3567.04	4387.36	4092.88	3411.61	2958.46	176.60000000000002	456.35	166.96	193.8	479.17	151.47	186.67	988.34	390.53	18.33	83.36	76.4	53.67	929.25	777.19	1358.75	528.87	334.43	192.67	833.67	287.67	544.33	181.0	523.27	556.67	2806.0
1.5.1.9-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	196.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	87.0	0.0	23.0	0.0	97.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.5.5.1-RXN	1.0	11.0	5.0	0.0	0.0	0.0	0.0	0.0	1104.8	378.4	3043.94	1025.78	425.6	120.78	664.63	348.07	0.0	371.8	84.0	671.4	446.53	6.0	1776.88	1058.07	1369.75	3.6	101.6	17.0	100.6	95.8	89.2	727.2	349.6	271.2
1.5.8.1-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
