"Genus","Total.Mean","Total.N","Total.Sd","gut.Mean","gut.N","gut.Sd","gut.se","gut.lower","gut.upper","gut.CI95per","left palm.Mean","left palm.N","left palm.Sd","left palm.se","left palm.lower","left palm.upper","left palm.CI95per","right palm.Mean","right palm.N","right palm.Sd","right palm.se","right palm.lower","right palm.upper","right palm.CI95per","tongue.Mean","tongue.N","tongue.Sd","tongue.se","tongue.lower","tongue.upper","tongue.CI95per"
"Bacteroides",0.174334092793428,34,0.26926713085754,0.562393373144834,8,0.0728817263905393,0.0257675814776665,0.511889841479906,0.612896904809762,0.101007063329855,0.00749992583484423,8,0.00817632988322963,0.00289076915282494,0.00183412240768798,0.0131657292620005,0.0113316068543125,0.149719675437693,9,0.286308110267213,0.0954360367557375,-0.0373315194307928,0.33677087030618,0.374102389736973,0.00230396491109886,9,0.0021757339045435,0.000725244634847832,0.000882511546816209,0.00372541827538152,0.00284290672856531
"Balneimonas",4.22582826233942e-05,34,0.000246406013135789,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0.000159642401021711,9,0.000478927203065134,0.000159642401021711,-0.000153250955386343,0.000472535757429766,0.000625786712816109,0,9,0,0,0,0,0
"Bergeyella",0.000193802026615478,34,0.00113005029431838,0,8,0,0,0,0,0,0.000823658613115783,8,0.00232965836286751,0.000823658613115783,-0.000790682604147361,0.00243799983037893,0.00322868243452629,0,9,0,0,0,0,0,0,9,0,0,0,0,0
"Bilophila",0.000647932081505172,34,0.00185507236731896,0.00185299076993581,8,0.00263071925290274,0.000930099711562769,3.00288332416947e-05,0.00367595270662993,0.00364592387338824,0,8,0,0,0,0,0,0.000800640512409928,9,0.00240192153722978,0.000800640512409928,-0.000768586056477225,0.00236986708129708,0.00313845313777431,0,9,0,0,0,0,0
"Blastococcus",0.00027282539721019,34,0.000995201921622526,0,8,0,0,0,0,0,0.000979910236993883,8,0.00190745523354066,0.000674387265223187,-0.000341864514476024,0.00230168498846379,0.00264354950293981,0.000159642401021711,9,0.000478927203065134,0.000159642401021711,-0.000153250955386343,0.000472535757429766,0.000625786712816109,0,9,0,0,0,0,0
"Blastomonas",0.000146759314723853,34,0.000855746504275248,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0.000554424077845667,9,0.001663272233537,0.000554424077845666,-0.000532227146893671,0.001641075302585,0.00217330244947867,0,9,0,0,0,0,0
"Blautia",0.00450482674592327,34,0.00747759001608857,0.0130272547125996,8,0.00973875984628189,0.00344317156382659,0.00627876245490707,0.0197757469702922,0.0134969845153852,0.00160367248217539,8,0.00253475091337691,0.000896169779733804,-0.000152788010136061,0.00336013297448684,0.0035129209846229,0.0040129657559101,9,0.00615516525752844,0.00205172175250948,-8.33498530588509e-06,0.00803426649712608,0.00804260148243197,0,9,0,0,0,0,0
"Bradyrhizobium",2.71660388293248e-05,34,0.000158403865587293,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0.000102627257799672,9,0.000307881773399015,0.000102627257799672,-9.8518471319792e-05,0.000303772986919135,0.000402291458238927,0,9,0,0,0,0,0
"Brevibacterium",7.0459516461722e-05,34,0.000305449768832126,0,8,0,0,0,0,0,9.53713123092574e-05,8,0.000269750806658144,9.53713123092574e-05,-9.15530249752086e-05,0.000282295649593723,0.000373848674568932,0.00018140589569161,9,0.00054421768707483,0.00018140589569161,-0.000174143126447175,0.000536954917830395,0.000711098044277571,0,9,0,0,0,0,0
"Brevundimonas",0.00124199715241049,34,0.00329737611164045,0,8,0,0,0,0,0,0.0022142124000644,8,0.00261994673749243,0.000926291052214236,0.000398715298522789,0.00402970950160601,0.00363099420308322,0.00272380044238238,9,0.00567013162762167,0.00189004387587389,-0.000980617483530931,0.0064282183682957,0.00740883585182663,0,9,0,0,0,0,0
"Bulleidia",0.000376441337374317,34,0.000877380655079703,0,8,0,0,0,0,0,0.000416235209968828,8,0.0010269673233577,0.000363087779201613,-0.000295403760492965,0.00112787418043062,0.00142327794092359,5.65738854944558e-05,9,0.000169721656483367,5.65738854944558e-05,-5.43088925401705e-05,0.000167456663529082,0.000221765556069253,0.000995550980169562,9,0.00123861705439023,0.000412872351463409,0.000186336041088918,0.00180476591925021,0.00161842987816129
"Butyricimonas",0.000191868064934246,34,0.000639969319937059,0.000815439275970546,8,0.00116174920150946,0.000410740369212696,1.0402945316977e-05,0.00162047560662412,0.00161007266130714,0,8,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0
"Butyrivibrio",3.86150083665851e-05,34,0.000225162256204607,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,9,0,0,0,0,0,0.000145878920495988,9,0.000437636761487965,0.000145878920495988,-0.000140038509779731,0.000431796350771707,0.000571834860551438
"Caldilinea",1.20737950352555e-05,34,7.04017180387967e-05,0,8,0,0,0,0,0,0,8,0,0,0,0,0,4.56121145776318e-05,9,0.000136836343732895,4.56121145776318e-05,-4.37859872532409e-05,0.000135010216408505,0.000178796203661745,0,9,0,0,0,0,0
"Campylobacter",0.00351457626123815,34,0.00511766125661859,0,8,0,0,0,0,0,0.00408067283347819,8,0.00547356418520303,0.00193519717630844,0.000287756064930032,0.00787358960202634,0.00758583353709631,0.000766876156922291,9,0.00129571081451277,0.000431903604837591,-7.96393533524063e-05,0.00161339166719699,0.00169303102054939,0.00888314720021901,9,0.00515279565963201,0.00171759855321067,0.00551671589602799,0.01224957850441,0.00673286260838203
"Candidatus Nitrososphaera",3.82539520397591e-05,34,0.000160901631523915,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0.000144514929927979,9,0.000299195040051333,9.97316800171111e-05,-5.09555710232318e-05,0.000339985430879189,0.000390941001902421,0,9,0,0,0,0,0
"Capnocytophaga",0.00148426303737139,34,0.00358301636081164,0,8,0,0,0,0,0,0.00390673023936759,8,0.0062738525058229,0.00221814182551579,-0.000440747851245292,0.00825420832998047,0.00869495618122576,0.00174261359846497,9,0.00293820984910449,0.00097940328303483,-0.000176981562623589,0.00366220875955352,0.00383919032217711,0.000391953218833546,9,0.000627591382633953,0.000209197127544651,-1.80656168232024e-05,0.000801972054490294,0.000820037671313496
"Cardiobacterium",0.000385994999890747,34,0.0016016999243469,0,8,0,0,0,0,0,0.00110051357300073,8,0.00311272244102662,0.00110051357300073,-0.0010564533945782,0.00325748054057966,0.00431393393515786,0.000479969045808838,9,0.00112581523834672,0.000375271746115572,-0.000255550060993142,0.00121548815261082,0.00147103821360396,0,9,0,0,0,0,0
"Catenibacterium",0.000251448230580249,34,0.00062838918580408,0,8,0,0,0,0,0,0.000472823115916008,8,0.000875510481232248,0.00030953969913961,-0.000133863546182991,0.00107950977801501,0.001213373324198,0.000529628323600043,9,0.000829293369445828,0.000276431123148609,-1.2166721977188e-05,0.00107142336917727,0.00108359009115446,0,9,0,0,0,0,0
"Catonella",2.14527824258806e-05,34,0.000125090142335893,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,9,0,0,0,0,0,8.10438447199935e-05,9,0.000243131534159981,8.10438447199935e-05,-7.77991720998504e-05,0.000239886861539837,0.000317686033639688
"Caulobacter",0.000295377316125856,34,0.00131615876533312,0,8,0,0,0,0,0,0.000352360817477097,8,0.000996626893849961,0.000352360817477097,-0.000338253694341104,0.0010429753292953,0.0013812290236364,0.000802660245384704,9,0.00240798073615411,0.000802660245384704,-0.000770524927391397,0.0023758454181608,0.0031463703455522,0,9,0,0,0,0,0
"Cellvibrio",3.69146717362816e-05,34,0.000215247675108263,0,8,0,0,0,0,0,0.000156887354879197,8,0.000443744450070002,0.000156887354879197,-0.000150606210313783,0.000464380920072176,0.00061498713038596,0,9,0,0,0,0,0,0,9,0,0,0,0,0
"Chloroidium",2.76860038022112e-05,34,0.000161435756331198,0,8,0,0,0,0,0,0.000117665516159398,8,0.000332808337552501,0.000117665516159398,-0.000112954657735337,0.000348285690054132,0.00046124034778947,0,9,0,0,0,0,0,0,9,0,0,0,0,0
"Chryseobacterium",0.0017765245393962,34,0.00580151704667902,0,8,0,0,0,0,0,0.00359189119312879,8,0.00623525851224182,0.00220449678822867,-0.000728843115833618,0.0079126255020912,0.00864146861792482,0.00351852275493783,9,0.00956048848911379,0.00318682949637126,-0.00272754828281976,0.00976459379269542,0.0124921420755152,0,9,0,0,0,0,0
"Cloacibacterium",7.35202634373861e-05,34,0.000325815314898039,0,8,0,0,0,0,0,0.000222533062054934,8,0.000629418548869002,0.000222533062054934,-0.000213623724942153,0.000658689849052021,0.000872313573994174,7.99360511590727e-05,9,0.000239808153477218,7.99360511590727e-05,-7.67357301790611e-05,0.000236607832497207,0.000313343562676268,0,9,0,0,0,0,0
"Clostridium",0.00193825233821615,68,0.00373482956782247,0.00402458648932497,16,0.00461487143407228,0.00115371785851807,0.00176334103830887,0.00628583194034106,0.00452249090203219,0.00120588327006914,16,0.00221311697251059,0.000553279243127648,0.000121475880145367,0.00229029065999291,0.00216881477984754,0.00267298015824402,18,0.0047656230938632,0.00112326813541663,0.000471415067845968,0.00487454524864207,0.0044031301807961,0,18,0,0,0,0,0
"Conchiformibius",0.000935337531909088,34,0.00409053856085815,0,8,0,0,0,0,0,0.00365447432998965,8,0.00818093271434384,0.0028923964993717,-0.00201451863778861,0.00932346729776791,0.0113379859355565,0.000285075716110199,9,0.000855227148330597,0.000285075716110199,-0.000273662420332756,0.000843813852553153,0.00111747627288591,0,9,0,0,0,0,0
"Coprococcus",0.00267299359613618,34,0.0061722578790465,0.010245395581795,8,0.00910912382943693,0.00322056161523141,0.00393321080594932,0.0165575803576407,0.0126243695516914,0,8,0,0,0,0,0,0.000990957512696643,9,0.00297287253808993,0.000990957512696643,-0.00095128352239817,0.00293319854779146,0.00388448207018963,0,9,0,0,0,0,0
"Corynebacterium",0.0618621964661916,34,0.103144518698186,0.000122155521429569,8,0.000345507990248906,0.000122155521429569,-0.000117264901085097,0.000361575943944234,0.00047884084502933,0.127328579304955,8,0.116589206444541,0.0412205092450465,0.0465378657602633,0.208119292849646,0.161581427089383,0.120254260743776,9,0.125594186406705,0.041864728802235,0.0382009000688591,0.202307621418694,0.164106721349835,0.000157828282828283,9,0.000473484848484848,0.000157828282828283,-0.000151509467256953,0.000467166032913519,0.000618675500170472
"Cucurbita",0.000843022980793947,34,0.00286850228655538,0,8,0,0,0,0,0,0.00254334662887324,8,0.0049970358299894,0.00176671896060883,-0.0009193589047241,0.00600605216247057,0.00692541106719467,0.000924000924000924,9,0.00277200277200277,0.000924000924000924,-0.000887007608722619,0.00273500945672447,0.00362201706544709,0,9,0,0,0,0,0
"DA101",1.05797714769361e-05,34,6.16901385404708e-05,0,8,0,0,0,0,0,0,8,0,0,0,0,0,3.99680255795364e-05,9,0.000119904076738609,3.99680255795364e-05,-3.83678650895305e-05,0.000118303916248603,0.000156671781338134,0,9,0,0,0,0,0
"Deinococcus",0.000305479902667665,34,0.00102844496529974,0,8,0,0,0,0,0,0.000358450591194864,8,0.000669359149191832,0.000236654196721401,-0.000105383111169339,0.000822284293559066,0.000927667404728406,0.000835412440126855,9,0.00185847611432976,0.000619492038109921,-0.000378769643277904,0.00204959452353161,0.00242836416680952,0,9,0,0,0,0,0
"Dermabacter",2.8492160309127e-05,34,0.000115688462698137,0,8,0,0,0,0,0,6.11396429444852e-05,8,0.000172929024501479,6.11396429444852e-05,-5.86918552543442e-05,0.000180971141143315,0.000239662996397659,5.32907007727152e-05,9,0.000159872102318145,5.32907007727152e-05,-5.11571534527074e-05,0.000157738554998138,0.000208895708450845,0,9,0,0,0,0,0
"Desulfomicrobium",2.76860038022112e-05,34,0.000161435756331198,0,8,0,0,0,0,0,0.000117665516159398,8,0.000332808337552501,0.000117665516159398,-0.000112954657735337,0.000348285690054132,0.00046124034778947,0,9,0,0,0,0,0,0,9,0,0,0,0,0
"Desulfovibrio",0.00205782141859869,34,0.00422855553465011,0.00533665924856991,8,0.00271496724729341,0.000959885875630271,0.00345531750306588,0.00721800099407393,0.00376268349100805,0,8,0,0,0,0,0,0.00303029491597737,9,0.00681871430005369,0.00227290476668456,-0.00142451656701379,0.00748510639896854,0.00890962296598232,0,9,0,0,0,0,0
"Devosia",6.70582870631153e-05,34,0.000391013646015752,0,8,0,0,0,0,0,0.00028499772001824,8,0.00080609528179041,0.00028499772001824,-0.00027358754689354,0.00084358298693002,0.00111717053382356,0,9,0,0,0,0,0,0,9,0,0,0,0,0
"Dialister",0.000494174907074997,34,0.00153687547959819,0.000320493380902359,8,0.000608734915411484,0.00021522029331624,-0.000101330642739617,0.000742317404544336,0.000843648047283953,0.00100880410858401,8,0.0028533289042744,0.00100880410858401,-0.000968415611696679,0.00298602382886469,0.00395443944056137,0.000685285213850998,9,0.00129781459994924,0.000432604866649748,-0.00016260474431926,0.00153317517202126,0.00169577991634052,0,9,0,0,0,0,0
"Dorea",0.000723259222000217,34,0.00132452029164836,0.00223493131618656,8,0.00124651767079179,0.000440710548942869,0.00137115451265166,0.00309870811972146,0.0017275536070698,0.000554148195060165,8,0.00156736778603731,0.000554148195060165,-0.000531962309355635,0.00164025869947596,0.0021722210088316,0.000253130828670397,9,0.000759392486011191,0.000253130828670397,-0.00024299647890036,0.000749258136241154,0.000992254615141514,0,9,0,0,0,0,0
"Dyadobacter",5.82152769777419e-05,34,0.000239242806285293,0,8,0,0,0,0,0,0.00014249886000912,8,0.000403047640895205,0.00014249886000912,-0.00013679377344677,0.00042179149346501,0.00055858526691178,9.32587263522515e-05,9,0.000279776179056755,9.32587263522515e-05,-8.95250185422379e-05,0.000276042471246741,0.000365567489788979,0,9,0,0,0,0,0
"Enhydrobacter",0.00227366025553365,34,0.00555949519201277,0,8,0,0,0,0,0,0.00461858403181635,8,0.00720334851209229,0.00254676829007524,-0.00037299009369978,0.00961015815733248,0.00998314825103227,0.00448397515929037,9,0.0077532667420593,0.0025844222473531,-0.000581399366365773,0.00954934968494651,0.0101307490513123,0,9,0,0,0,0,0
"Enterococcus",0.000755941238318854,34,0.00327947287147476,0,8,0,0,0,0,0,0.00101976780671478,8,0.00288433892545501,0.00101976780671478,-0.00097894036703959,0.00301847598046915,0.00399741634750874,0.00194931773879142,9,0.00584795321637427,0.00194931773879142,-0.00187127482366482,0.00576991030124767,0.00764118512491249,0,9,0,0,0,0,0
"Epulopiscium",1.05797714769361e-05,34,6.16901385404708e-05,0,8,0,0,0,0,0,0,8,0,0,0,0,0,3.99680255795364e-05,9,0.000119904076738609,3.99680255795364e-05,-3.83678650895305e-05,0.000118303916248603,0.000156671781338134,0,9,0,0,0,0,0
"Erythromicrobium",0.000272553013058584,34,0.00158924350793975,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0.00102964471599909,9,0.00308893414799728,0.00102964471599909,-0.000988421844231103,0.00304771127622929,0.0040361331204604,0,9,0,0,0,0,0
"Facklamia",8.5306689094991e-05,34,0.000355761275607939,0,8,0,0,0,0,0,0.000222533062054934,8,0.000629418548869002,0.000222533062054934,-0.000213623724942153,0.000658689849052021,0.000872313573994174,0.000124462548087803,9,0.000373387644263408,0.000124462548087803,-0.000119479563588375,0.00036840465976398,0.000487884223352356,0,9,0,0,0,0,0
"Faecalibacterium",0.0243995649893825,34,0.0418648819516872,0.0770445916874036,8,0.0352816173927028,0.0124739354548047,0.0525961274505092,0.101493055924298,0.0488969284737888,0.00310523300842337,8,0.00339551905310841,0.00120049727405054,0.000752301587745802,0.00545816442910095,0.00470586284135515,0.0209318457858209,9,0.0471406761741304,0.0157135587247101,-0.00986616338356611,0.0517298549552079,0.061596018338774,0,9,0,0,0,0,0
"Filifactor",3.72536601721119e-05,34,0.000217224300370499,0,8,0,0,0,0,0,0.000158328055731476,8,0.000447819367439232,0.000158328055731476,-0.000151989231244467,0.000468645342707418,0.000620634573951885,0,9,0,0,0,0,0,0,9,0,0,0,0,0
"Finegoldia",0.00555710361635162,34,0.00971118555854206,0.000191958676532179,8,0.000542941127533996,0.000191958676532179,-0.000184273415990866,0.000568190769055225,0.000752464185046091,0.0119339808081589,8,0.00969928732377664,0.00342921591965959,0.00521284111041472,0.0186551205059031,0.0134422793954884,0.0102148896753807,9,0.0133358366727687,0.00444527889092291,0.00150230314793564,0.0189274762028258,0.0174251730548901,0,9,0,0,0,0,0
"Flavisolibacter",0.000479392955565741,34,0.00157508814331471,0,8,0,0,0,0,0,0.00153469416305514,8,0.0029843628208,0.00105513159405435,-0.000533325760241711,0.003602714086352,0.00413603984659371,0.000446867464977115,9,0.000915090982859214,0.000305030327619738,-0.000150980991350024,0.00104471592130425,0.00119569691265428,0,9,0,0,0,0,0
"Flavobacterium",0.0018635090791449,34,0.0046917183891593,0,8,0,0,0,0,0,0.00504964436425814,8,0.00807331388519777,0.00285434749743543,-0.000544773930077334,0.0106440626585936,0.0111888365886709,0.00255135041965127,9,0.00396310182618401,0.00132103394206134,-3.7828529143919e-05,0.00514052936844647,0.00517835789759039,0,9,0,0,0,0,0
"Flectobacillus",0.00183695690378163,34,0.00952287894123451,0,8,0,0,0,0,0,0.000856965008078033,8,0.00119622197120679,0.00042292833382233,2.80407057447337e-05,0.00168588931041133,0.0016578486046666,0.00617786829599457,9,0.0185336048879837,0.00617786829599457,-0.00593053106538662,0.0182862676573758,0.0242167987227624,0,9,0,0,0,0,0
"Frigoribacterium",2.71660388293248e-05,34,0.000158403865587293,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0.000102627257799672,9,0.000307881773399015,0.000102627257799672,-9.8518471319792e-05,0.000303772986919135,0.000402291458238927,0,9,0,0,0,0,0
"Fusibacter",6.03689751762774e-06,34,3.52008590193984e-05,0,8,0,0,0,0,0,0,8,0,0,0,0,0,2.28060572888159e-05,9,6.84181718664477e-05,2.28060572888159e-05,-2.18929936266204e-05,6.75051082042523e-05,8.93981018308727e-05,0,9,0,0,0,0,0
"Fusobacterium",0.039794336039251,34,0.0517717416305669,0.000551392041996654,8,0.0013952231248812,0.00049328586643589,-0.000415430490300326,0.00151821457429363,0.00193364506459396,0.0423795099507102,8,0.0499795183299343,0.0176704281657669,0.00774610715440485,0.0770129127470156,0.0692668055926107,0.0143203616785474,9,0.013822784888638,0.00460759496287933,0.0052896414959557,0.023351081861139,0.0180614403651833,0.0978529949206614,9,0.0510776050386508,0.0170258683462169,0.0644829061565557,0.131223083684767,0.0667401775282114
"Gaiella",0.000100822060644259,34,0.000426235098342507,0,8,0,0,0,0,0,0.000274552871038594,8,0.000776552787622503,0.000274552871038594,-0.00026356086804912,0.000812666610126309,0.00107622747817543,0.000136836343732895,9,0.000410509031198686,0.000136836343732895,-0.000131357961759723,0.000405030649225514,0.000536388610985236,0,9,0,0,0,0,0
